age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribe
31,services,married,secondary,no,25.0,yes,yes,unknown,5.0,may,172.0,1.0,-1.0,0,unknown,0
54,management,married,secondary,no,282.0,yes,yes,unknown,5.0,may,154.0,1.0,-1.0,0,unknown,0
55,blue-collar,married,primary,no,,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0,unknown,0
43,technician,married,secondary,no,1937.0,yes,no,,5.0,may,181.0,1.0,-1.0,0,unknown,0
53,technician,married,secondary,no,384.0,yes,no,,5.0,may,176.0,1.0,-1.0,0,unknown,0
44,blue-collar,married,secondary,no,582.0,no,yes,unknown,5.0,may,211.0,1.0,-1.0,0,unknown,0
55,services,divorced,secondary,no,91.0,no,no,unknown,5.0,may,349.0,1.0,-1.0,0,unknown,0
49,services,divorced,secondary,no,0.0,yes,yes,unknown,5.0,may,272.0,1.0,,0,unknown,0
55,services,divorced,secondary,yes,1.0,yes,no,unknown,5.0,may,208.0,1.0,-1.0,0,unknown,0
45,admin.,single,secondary,no,,yes,no,,5.0,may,193.0,1.0,-1.0,0,unknown,0
47,services,divorced,secondary,no,164.0,no,no,unknown,5.0,may,212.0,,-1.0,0,unknown,0
42,technician,single,secondary,no,690.0,yes,no,unknown,5.0,may,20.0,1.0,-1.0,0,unknown,0
59,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,,1.0,,0,unknown,1
46,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5.0,may,246.0,,-1.0,0,unknown,0
51,blue-collar,married,primary,no,173.0,yes,no,,5.0,may,529.0,2.0,-1.0,0,unknown,0
56,admin.,married,secondary,no,45.0,no,no,unknown,5.0,may,1467.0,1.0,-1.0,0,unknown,1
41,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389.0,1.0,-1.0,0,unknown,1
46,management,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0,unknown,0
57,retired,married,secondary,no,486.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0,unknown,0
42,management,single,secondary,no,50.0,no,no,unknown,5.0,may,48.0,1.0,,0,unknown,0
30,technician,married,secondary,no,152.0,yes,yes,,5.0,may,213.0,2.0,-1.0,0,unknown,0
60,admin.,married,secondary,no,290.0,yes,no,,5.0,may,583.0,1.0,-1.0,0,unknown,0
60,blue-collar,married,unknown,no,54.0,yes,no,unknown,5.0,may,221.0,1.0,-1.0,0,unknown,0
57,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,173.0,1.0,-1.0,0,,0
36,management,married,tertiary,no,101.0,yes,yes,unknown,5.0,may,426.0,1.0,-1.0,0,unknown,0
55,blue-collar,married,secondary,no,383.0,no,no,unknown,5.0,may,287.0,,-1.0,0,unknown,0
60,retired,married,tertiary,no,,yes,no,unknown,5.0,may,101.0,1.0,-1.0,0,,0
39,technician,married,secondary,no,,yes,no,unknown,5.0,may,203.0,1.0,-1.0,0,unknown,0
46,management,married,tertiary,no,229.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0,unknown,0
44,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5.0,may,257.0,1.0,-1.0,0,unknown,0
53,blue-collar,married,primary,no,90.0,no,no,unknown,5.0,may,124.0,1.0,,0,unknown,0
52,blue-collar,married,primary,no,128.0,yes,no,unknown,5.0,may,229.0,1.0,-1.0,0,unknown,0
59,blue-collar,married,primary,no,179.0,yes,no,unknown,5.0,may,55.0,3.0,-1.0,0,unknown,0
27,technician,single,tertiary,no,0.0,yes,no,unknown,5.0,may,400.0,1.0,-1.0,0,unknown,0
44,blue-collar,married,secondary,no,54.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0,unknown,0
47,technician,married,tertiary,no,151.0,yes,no,unknown,5.0,may,190.0,1.0,-1.0,0,unknown,0
34,admin.,married,secondary,no,61.0,no,yes,unknown,5.0,may,,,-1.0,0,unknown,0
59,retired,single,secondary,no,30.0,yes,no,unknown,5.0,may,514.0,1.0,-1.0,0,unknown,0
45,management,married,tertiary,no,523.0,yes,no,,5.0,may,849.0,2.0,,0,unknown,0
29,services,divorced,secondary,no,31.0,yes,no,unknown,5.0,may,194.0,1.0,-1.0,0,unknown,0
46,technician,divorced,secondary,no,79.0,no,no,unknown,5.0,may,144.0,1.0,-1.0,0,unknown,0
56,self-employed,married,primary,no,-34.0,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0,unknown,0
36,blue-collar,married,primary,no,448.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0,unknown,0
59,retired,divorced,primary,no,81.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0,unknown,0
44,blue-collar,married,secondary,no,144.0,yes,no,unknown,5.0,may,247.0,2.0,,0,unknown,0
41,admin.,married,secondary,no,351.0,yes,no,,5.0,may,518.0,1.0,-1.0,0,unknown,0
33,management,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,364.0,1.0,,0,unknown,0
59,management,divorced,tertiary,no,262.0,no,no,unknown,5.0,may,178.0,,-1.0,0,unknown,0
57,technician,married,primary,no,0.0,no,no,unknown,5.0,may,98.0,,-1.0,0,unknown,0
56,technician,divorced,unknown,no,56.0,yes,no,unknown,5.0,may,439.0,,-1.0,0,unknown,0
51,blue-collar,married,secondary,no,26.0,yes,no,unknown,5.0,may,79.0,,-1.0,0,unknown,0
34,admin.,married,unknown,no,3.0,yes,no,unknown,5.0,may,120.0,3.0,,0,unknown,0
43,services,married,secondary,no,41.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0,unknown,0
52,technician,married,tertiary,no,7.0,no,yes,,5.0,may,175.0,,-1.0,0,unknown,0
33,technician,single,secondary,no,105.0,yes,no,unknown,5.0,may,262.0,2.0,-1.0,0,unknown,0
29,admin.,single,secondary,no,818.0,yes,yes,unknown,5.0,may,,1.0,-1.0,0,unknown,0
34,services,married,secondary,no,-16.0,yes,yes,,5.0,may,,1.0,-1.0,0,unknown,0
31,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,143.0,1.0,-1.0,0,,0
55,services,married,secondary,no,2476.0,yes,no,,5.0,may,579.0,,-1.0,0,unknown,1
55,management,married,unknown,no,1185.0,no,no,unknown,5.0,may,,,-1.0,0,unknown,0
32,admin.,single,secondary,no,217.0,yes,no,unknown,5.0,may,345.0,,-1.0,0,unknown,0
38,technician,single,secondary,no,,yes,no,unknown,5.0,may,185.0,1.0,,0,unknown,0
55,admin.,single,secondary,no,802.0,yes,yes,unknown,5.0,may,100.0,2.0,,0,unknown,0
28,unemployed,single,tertiary,no,0.0,yes,no,unknown,5.0,may,125.0,,-1.0,0,unknown,0
23,blue-collar,married,secondary,no,94.0,yes,no,unknown,5.0,may,193.0,1.0,,0,unknown,0
32,technician,single,secondary,no,0.0,yes,no,unknown,5.0,may,136.0,,-1.0,0,unknown,0
43,services,single,unknown,no,0.0,no,no,unknown,5.0,may,73.0,1.0,,0,unknown,0
32,blue-collar,married,secondary,no,517.0,yes,no,unknown,5.0,may,528.0,1.0,-1.0,0,unknown,0
46,blue-collar,married,secondary,no,265.0,yes,no,,5.0,may,,1.0,-1.0,0,unknown,0
53,housemaid,divorced,primary,no,947.0,yes,no,unknown,5.0,may,163.0,1.0,-1.0,0,unknown,0
34,self-employed,single,secondary,no,3.0,yes,no,unknown,5.0,may,301.0,,-1.0,0,unknown,0
57,unemployed,married,tertiary,no,42.0,no,no,unknown,5.0,may,46.0,1.0,-1.0,0,unknown,0
37,blue-collar,married,secondary,no,37.0,yes,no,unknown,,may,204.0,,-1.0,0,unknown,0
59,blue-collar,married,secondary,no,,yes,no,,5.0,may,98.0,1.0,-1.0,0,unknown,0
33,services,married,secondary,no,22.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0,unknown,0
56,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5.0,may,157.0,2.0,-1.0,0,unknown,0
48,unemployed,married,secondary,no,293.0,yes,no,unknown,5.0,may,243.0,,-1.0,0,unknown,0
43,services,married,primary,no,3.0,yes,no,unknown,5.0,may,186.0,2.0,,0,unknown,0
54,blue-collar,married,primary,no,348.0,yes,no,unknown,5.0,may,579.0,2.0,,0,unknown,0
51,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5.0,may,163.0,2.0,-1.0,0,unknown,0
26,student,single,secondary,no,,yes,no,unknown,5.0,may,610.0,2.0,-1.0,0,unknown,0
40,management,married,tertiary,no,-4.0,yes,no,unknown,5.0,may,2033.0,1.0,-1.0,0,unknown,0
39,management,married,secondary,no,18.0,yes,no,unknown,5.0,may,,,-1.0,0,unknown,0
50,technician,married,primary,no,139.0,no,no,unknown,5.0,may,114.0,2.0,-1.0,0,unknown,0
41,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,114.0,2.0,-1.0,0,unknown,0
51,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5.0,may,57.0,1.0,,0,unknown,0
60,retired,divorced,secondary,no,216.0,yes,no,unknown,5.0,may,238.0,1.0,-1.0,0,unknown,0
52,blue-collar,married,secondary,no,782.0,yes,no,unknown,5.0,may,93.0,3.0,-1.0,0,unknown,0
48,blue-collar,married,secondary,no,904.0,yes,no,unknown,5.0,may,128.0,2.0,-1.0,0,unknown,0
48,services,married,unknown,no,1705.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0,unknown,0
39,technician,single,tertiary,no,,yes,no,,5.0,may,181.0,1.0,-1.0,0,unknown,0
47,,single,secondary,no,176.0,yes,no,unknown,5.0,may,303.0,2.0,-1.0,0,unknown,0
40,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5.0,may,558.0,5.0,-1.0,0,unknown,0
45,technician,married,secondary,no,86.0,yes,no,unknown,5.0,may,270.0,,-1.0,0,unknown,0
26,admin.,single,secondary,no,82.0,yes,no,unknown,5.0,may,,1.0,,0,unknown,0
52,management,married,tertiary,no,271.0,yes,no,unknown,5.0,may,99.0,1.0,-1.0,0,unknown,0
54,technician,married,secondary,no,1378.0,yes,no,unknown,5.0,may,240.0,1.0,-1.0,0,unknown,0
54,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673.0,2.0,-1.0,0,unknown,1
50,blue-collar,married,primary,no,0.0,no,no,unknown,5.0,may,233.0,3.0,-1.0,0,unknown,0
35,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,1056.0,1.0,,0,unknown,0
44,services,married,secondary,no,1357.0,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0,unknown,0
53,entrepreneur,married,unknown,no,19.0,yes,no,unknown,,may,252.0,1.0,-1.0,0,unknown,0
35,retired,single,primary,no,434.0,no,no,unknown,5.0,may,138.0,1.0,-1.0,0,unknown,0
60,admin.,divorced,secondary,no,92.0,yes,no,,5.0,may,130.0,1.0,-1.0,0,unknown,0
53,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
48,unemployed,married,secondary,no,41.0,yes,no,unknown,5.0,may,179.0,2.0,,0,unknown,0
34,technician,married,secondary,no,51.0,yes,no,unknown,5.0,may,19.0,2.0,-1.0,0,unknown,0
54,services,married,secondary,no,214.0,yes,no,unknown,5.0,may,458.0,2.0,-1.0,0,unknown,0
51,management,married,secondary,no,1161.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
31,services,married,tertiary,no,37.0,yes,no,unknown,5.0,may,313.0,1.0,,0,unknown,0
35,technician,divorced,secondary,no,787.0,yes,no,unknown,5.0,may,683.0,2.0,-1.0,0,unknown,0
35,services,married,secondary,no,59.0,yes,no,unknown,5.0,may,1077.0,1.0,-1.0,0,unknown,0
38,technician,married,secondary,no,253.0,yes,no,unknown,5.0,may,416.0,1.0,-1.0,0,unknown,0
36,admin.,married,tertiary,no,,yes,no,unknown,5.0,may,146.0,2.0,,0,unknown,0
58,retired,married,primary,no,235.0,yes,no,unknown,5.0,may,167.0,1.0,-1.0,0,unknown,0
40,services,divorced,unknown,no,4384.0,yes,no,unknown,5.0,may,315.0,,-1.0,0,,0
54,management,married,secondary,no,4080.0,no,no,unknown,5.0,may,140.0,1.0,,0,unknown,0
34,blue-collar,single,secondary,no,,yes,yes,unknown,5.0,may,,1.0,-1.0,0,unknown,0
31,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,562.0,,-1.0,0,unknown,0
51,retired,married,secondary,no,2127.0,yes,no,unknown,5.0,may,172.0,1.0,,0,unknown,0
33,management,married,tertiary,no,377.0,yes,no,unknown,5.0,may,217.0,,-1.0,0,unknown,0
55,management,married,tertiary,no,73.0,yes,no,unknown,5.0,may,142.0,2.0,-1.0,0,unknown,0
42,admin.,married,secondary,no,445.0,yes,no,unknown,5.0,may,67.0,1.0,-1.0,0,unknown,0
34,blue-collar,married,secondary,no,243.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0,unknown,0
33,blue-collar,single,secondary,no,307.0,yes,no,unknown,5.0,may,309.0,2.0,-1.0,0,unknown,0
38,services,married,secondary,no,155.0,yes,no,unknown,5.0,may,248.0,1.0,-1.0,0,unknown,0
50,technician,divorced,tertiary,no,173.0,no,yes,,5.0,may,,1.0,-1.0,0,unknown,0
43,management,married,tertiary,no,400.0,yes,no,unknown,5.0,may,256.0,1.0,-1.0,0,unknown,0
61,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5.0,may,82.0,2.0,,0,unknown,0
47,admin.,married,secondary,no,219.0,yes,no,unknown,5.0,may,577.0,,-1.0,0,unknown,0
48,self-employed,married,tertiary,no,7.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
44,blue-collar,married,secondary,no,575.0,yes,no,unknown,5.0,may,477.0,1.0,-1.0,0,unknown,0
35,student,single,unknown,no,298.0,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0,unknown,0
35,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,471.0,1.0,,0,unknown,0
50,services,married,secondary,no,5699.0,yes,no,unknown,5.0,may,,2.0,-1.0,0,unknown,0
41,management,married,tertiary,no,176.0,yes,yes,unknown,5.0,may,,1.0,-1.0,0,unknown,0
41,management,married,tertiary,no,517.0,yes,no,unknown,5.0,may,251.0,1.0,,0,unknown,0
39,services,single,unknown,no,,yes,no,unknown,5.0,may,408.0,1.0,-1.0,0,unknown,0
42,retired,married,secondary,no,56.0,yes,no,unknown,5.0,may,215.0,1.0,-1.0,0,unknown,0
38,blue-collar,married,secondary,no,-390.0,yes,no,,5.0,may,287.0,1.0,-1.0,0,unknown,0
53,retired,married,secondary,no,330.0,yes,no,unknown,5.0,may,216.0,2.0,-1.0,0,unknown,0
59,housemaid,divorced,primary,no,195.0,no,no,unknown,5.0,may,366.0,,-1.0,0,,0
36,services,married,secondary,no,301.0,yes,no,unknown,5.0,may,210.0,1.0,-1.0,0,unknown,0
54,blue-collar,married,primary,no,-41.0,yes,no,unknown,5.0,may,288.0,,-1.0,0,unknown,0
40,technician,married,tertiary,no,483.0,yes,no,unknown,5.0,may,168.0,1.0,-1.0,0,unknown,0
47,unknown,married,unknown,no,28.0,no,no,unknown,5.0,may,338.0,2.0,-1.0,0,unknown,0
53,unemployed,married,unknown,no,13.0,no,no,unknown,5.0,may,410.0,3.0,-1.0,0,unknown,0
46,housemaid,married,primary,no,,no,no,unknown,5.0,may,177.0,,-1.0,0,unknown,0
39,management,married,tertiary,no,378.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0,unknown,0
40,unemployed,married,secondary,no,219.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0,unknown,0
28,blue-collar,married,primary,no,324.0,yes,no,,5.0,may,175.0,1.0,,0,unknown,0
35,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,300.0,1.0,-1.0,0,unknown,0
55,retired,married,secondary,no,0.0,no,yes,unknown,5.0,may,136.0,1.0,-1.0,0,unknown,0
43,technician,divorced,unknown,no,205.0,yes,no,unknown,5.0,may,1419.0,1.0,-1.0,0,unknown,0
48,blue-collar,married,primary,no,278.0,yes,no,unknown,5.0,may,125.0,2.0,,0,unknown,0
58,management,married,unknown,no,1065.0,yes,no,unknown,5.0,may,213.0,3.0,-1.0,0,unknown,0
33,management,single,tertiary,no,34.0,yes,no,unknown,5.0,may,27.0,1.0,-1.0,0,unknown,0
36,blue-collar,married,unknown,no,1033.0,no,no,unknown,5.0,may,238.0,,-1.0,0,unknown,0
53,services,divorced,secondary,no,1467.0,yes,no,unknown,5.0,may,124.0,1.0,-1.0,0,,0
47,blue-collar,married,primary,no,-12.0,yes,no,unknown,5.0,may,18.0,1.0,-1.0,0,unknown,0
31,services,married,secondary,no,388.0,yes,no,unknown,5.0,may,730.0,2.0,-1.0,0,unknown,0
57,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5.0,may,746.0,,-1.0,0,unknown,0
53,blue-collar,married,unknown,no,1827.0,no,no,unknown,5.0,may,121.0,1.0,-1.0,0,unknown,0
55,blue-collar,married,primary,no,627.0,yes,no,unknown,5.0,may,247.0,1.0,-1.0,0,unknown,0
45,blue-collar,married,primary,no,25.0,yes,no,unknown,5.0,may,40.0,1.0,-1.0,0,,0
53,admin.,divorced,secondary,no,315.0,yes,no,unknown,5.0,may,181.0,2.0,-1.0,0,unknown,0
37,blue-collar,married,primary,no,0.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0,unknown,0
44,admin.,divorced,secondary,no,66.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
49,blue-collar,divorced,primary,no,-9.0,yes,yes,unknown,5.0,may,389.0,1.0,-1.0,0,unknown,0
46,technician,married,secondary,no,,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0,unknown,0
43,entrepreneur,married,unknown,no,100.0,yes,no,,5.0,may,702.0,1.0,,0,unknown,0
38,admin.,married,secondary,no,0.0,no,no,unknown,5.0,may,151.0,1.0,,0,unknown,0
43,technician,married,secondary,no,,yes,no,,5.0,may,117.0,1.0,-1.0,0,unknown,0
49,,married,tertiary,no,3237.0,yes,no,unknown,5.0,may,232.0,3.0,,0,unknown,0
42,management,married,unknown,no,275.0,no,no,unknown,5.0,may,408.0,2.0,-1.0,0,unknown,0
22,blue-collar,single,secondary,no,0.0,yes,no,unknown,5.0,may,179.0,2.0,-1.0,0,,0
40,management,married,tertiary,no,207.0,yes,no,unknown,5.0,may,39.0,,-1.0,0,unknown,0
39,blue-collar,married,secondary,no,483.0,yes,no,unknown,5.0,may,282.0,1.0,-1.0,0,unknown,0
51,services,married,secondary,no,2248.0,yes,no,unknown,5.0,may,714.0,,-1.0,0,unknown,0
49,admin.,married,secondary,no,428.0,yes,no,unknown,5.0,may,50.0,,-1.0,0,unknown,0
53,,married,secondary,no,0.0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0,unknown,0
34,services,single,secondary,no,,yes,no,unknown,5.0,may,142.0,1.0,-1.0,0,unknown,0
33,technician,divorced,secondary,no,140.0,yes,no,unknown,5.0,may,227.0,1.0,-1.0,0,unknown,0
50,management,single,tertiary,no,,yes,no,unknown,5.0,may,119.0,1.0,-1.0,0,unknown,0
39,blue-collar,married,primary,no,279.0,yes,no,unknown,5.0,may,361.0,1.0,-1.0,0,unknown,0
59,entrepreneur,divorced,secondary,no,901.0,yes,no,unknown,5.0,may,,,,0,unknown,0
30,technician,single,secondary,no,2573.0,yes,no,unknown,5.0,may,67.0,2.0,-1.0,0,unknown,0
36,services,married,secondary,no,143.0,yes,yes,unknown,5.0,may,350.0,1.0,-1.0,0,unknown,0
40,blue-collar,married,secondary,no,475.0,yes,no,unknown,,may,332.0,2.0,-1.0,0,unknown,0
53,blue-collar,married,secondary,no,,yes,no,unknown,5.0,may,611.0,,-1.0,0,unknown,0
34,management,single,tertiary,no,318.0,yes,no,unknown,5.0,may,113.0,,-1.0,0,unknown,0
37,technician,married,secondary,no,275.0,yes,no,unknown,5.0,may,132.0,1.0,-1.0,0,unknown,0
42,management,divorced,tertiary,no,742.0,yes,no,unknown,5.0,may,58.0,3.0,-1.0,0,unknown,0
41,entrepreneur,married,primary,no,236.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0,unknown,0
30,student,single,tertiary,no,25.0,yes,no,unknown,5.0,may,89.0,,-1.0,0,unknown,0
