customer_id,disbursed_amount,interest,market,employment,time_employed,householder,income,date_issued,target,loan_purpose,number_open_accounts,date_last_payment,number_credit_lines_12
26,9881.25,16.1644,D,,,OWNER,30906.1764,2013-12-08,0,Debt consolidation,8.0,2015-12-25,
27,13216.5,20.99,E,Civil Servant,>5 years,OWNER,26468.64,2015-06-06,0,Debt consolidation,9.0,2016-01-26,
28,14100.0,5.7998,A,Other,>5 years,RENT,37632.0,2011-01-01,0,Debt consolidation,14.0,2014-01-07,
29,2784.0,16.79,D,Accountant,<=5 years,RENT,36400.0,2014-02-06,0,Debt consolidation,13.0,2015-06-22,
30,9500.0,16.4803,D,Dentist,>5 years,RENT,161000.0,2014-10-04,0,Other,12.0,2016-01-22,
31,9200.0,15.065999999999999,C,Accountant,>5 years,RENT,61380.0,2013-11-12,0,Other,6.0,2015-11-23,
32,27440.0,7.821000000000001,A,Other,>5 years,MORTGAGE,131600.0,2013-07-19,0,Debt consolidation,10.0,2016-01-15,
33,19200.0,9.0909,B,Teacher,<=5 years,RENT,114000.0,2015-02-19,0,Debt consolidation,10.0,2015-04-06,
34,15152.5,13.33,C,Civil Servant,>5 years,RENT,37600.0,2015-04-23,0,Debt consolidation,20.0,2016-01-10,
35,16920.0,23.3966,E,Taxi driver,>5 years,MORTGAGE,69120.0,2013-09-21,0,Debt consolidation,15.0,2016-01-12,
36,27440.0,11.6748,C,Accountant,<=5 years,MORTGAGE,147000.0,2015-08-14,0,Debt consolidation,16.0,2015-12-10,
37,1395.0,9.1336,A,Software developer,<=5 years,RENT,45307.08,2009-07-04,0,Other,11.0,2012-08-08,
38,1000.0,18.288,D,Nurse,<=5 years,RENT,98880.0,2013-04-10,0,Health,20.0,2014-10-11,
39,15680.0,10.2207,B,Dentist,>5 years,RENT,44650.0,2014-05-05,0,Debt consolidation,18.0,2016-01-07,
40,23250.0,7.1799,A,Secretary,>5 years,RENT,89180.0,2015-11-10,0,Debt consolidation,18.0,2016-01-07,
41,18720.0,11.088000000000001,B,Accountant,>5 years,RENT,51150.0,2013-08-13,0,Debt consolidation,12.0,2016-01-13,
42,11960.0,9.1744,B,Taxi driver,<=5 years,RENT,53900.0,2012-07-10,0,Debt consolidation,12.0,2012-09-22,
43,19110.0,7.771,B,Teacher,>5 years,RENT,87300.0,2015-10-06,0,Debt consolidation,10.0,2016-01-25,
44,16767.5,9.6903,B,Secretary,<=5 years,MORTGAGE,50960.0,2015-10-03,0,Debt consolidation,7.0,2015-12-12,
45,17460.0,20.49,E,Teacher,<=5 years,RENT,47520.0,2015-04-04,0,Other,4.0,2015-12-09,
46,8736.0,11.9286,C,Civil Servant,<=5 years,MORTGAGE,73500.0,2015-05-12,0,Debt consolidation,10.0,2015-10-11,
47,11880.0,7.9764,B,Software developer,>5 years,OWNER,51700.0,2014-11-17,0,Debt consolidation,12.0,2015-12-13,
48,14379.75,9.1865,B,Civil Servant,>5 years,RENT,118340.0,2014-02-07,0,Debt consolidation,10.0,2015-11-27,
49,4550.0,9.17,B,Accountant,>5 years,MORTGAGE,53000.0,2015-03-13,0,Home improvements,8.0,2015-04-06,
50,9100.0,16.0923,D,Nurse,<=5 years,RENT,28800.0,2015-12-25,0,Debt consolidation,21.0,2016-01-25,2.0
51,5488.0,14.673399999999999,D,Statistician,>5 years,RENT,77425.0,2014-09-19,0,Other,10.0,2016-01-01,
52,4850.0,16.963199999999997,D,Civil Servant,<=5 years,RENT,73500.0,2014-09-05,0,Debt consolidation,17.0,2014-10-20,
53,21840.0,10.2207,B,Taxi driver,>5 years,MORTGAGE,97020.0,2014-02-04,0,Debt consolidation,20.0,2016-01-18,
54,9300.0,14.7609,D,Statistician,>5 years,MORTGAGE,51940.0,2011-03-20,0,Home improvements,8.0,2011-07-15,
55,14720.0,6.934200000000001,A,Statistician,>5 years,RENT,42300.0,2014-04-17,0,Debt consolidation,6.0,2016-01-21,
56,11400.0,13.5703,C,Accountant,<=5 years,MORTGAGE,81310.0,2015-04-18,0,Debt consolidation,15.0,2015-12-12,
57,6336.0,10.805800000000001,B,Bus driver,>5 years,OWNER,28200.0,2012-10-22,0,Debt consolidation,6.0,2014-10-20,
58,16296.0,16.1271,C,Bus driver,>5 years,MORTGAGE,72000.0,2012-12-26,0,Debt consolidation,7.0,2016-01-15,
59,14550.0,13.6409,C,Statistician,>5 years,MORTGAGE,58240.0,2014-07-02,0,Debt consolidation,21.0,2015-12-27,
60,9700.0,10.137400000000001,B,Nurse,>5 years,MORTGAGE,47320.0,2013-05-23,0,Debt consolidation,16.0,2015-12-16,
61,5760.0,13.4208,C,Teacher,<=5 years,RENT,21840.0,2014-10-11,0,Debt consolidation,10.0,2016-01-10,
62,27900.0,16.650199999999998,D,Civil Servant,>5 years,MORTGAGE,82000.0,2015-11-09,0,Debt consolidation,17.0,2016-01-11,
63,11880.0,13.124099999999999,B,Dentist,>5 years,RENT,48020.0,2013-12-11,0,Debt consolidation,19.0,2015-12-23,
64,23520.0,17.8752,D,Nurse,>5 years,MORTGAGE,72750.0,2014-10-11,0,Debt consolidation,13.0,2016-01-19,
65,26320.0,11.4908,B,Secretary,>5 years,MORTGAGE,68600.0,2014-07-09,0,Debt consolidation,26.0,2016-01-12,
66,6080.0,7.1799,A,Civil Servant,>5 years,RENT,36400.0,2015-10-04,0,Debt consolidation,10.0,2015-12-17,
67,14000.0,13.4688,C,Teacher,<=5 years,MORTGAGE,92000.0,2014-03-02,0,Debt consolidation,11.0,2016-01-09,
68,14700.0,10.110800000000001,B,Teacher,>5 years,MORTGAGE,33840.0,2014-02-01,0,Debt consolidation,14.0,2016-01-06,
69,13860.0,6.0904,A,Nurse,>5 years,MORTGAGE,61740.0,2012-07-06,0,Other,13.0,2015-07-07,
70,14250.0,7.852799999999999,B,Teacher,>5 years,MORTGAGE,59150.0,2015-04-12,0,Debt consolidation,13.0,2016-01-07,
71,10230.0,7.89,A,Teacher,>5 years,OWNER,93840.0,2015-02-21,0,Debt consolidation,12.0,2015-04-15,
72,22176.0,5.870699999999999,A,Teacher,>5 years,MORTGAGE,71047.7568,2015-04-08,0,Debt consolidation,9.0,2016-01-24,
73,15310.75,10.3306,B,Bus driver,<=5 years,RENT,74480.0,2015-02-08,0,Debt consolidation,9.0,2016-01-16,
74,7790.0,24.2915,E,Statistician,<=5 years,RENT,37000.0,2015-04-19,0,Other,12.0,2016-01-17,
75,20088.0,8.9866,B,Taxi driver,>5 years,MORTGAGE,101200.0,2015-09-06,0,Debt consolidation,16.0,2016-01-23,
76,20675.0,8.9,A,Other,>5 years,MORTGAGE,46060.0,2013-08-06,0,Debt consolidation,11.0,2014-12-27,
77,17820.0,13.281,C,Other,>5 years,RENT,89180.0,2014-10-26,0,Debt consolidation,10.0,2015-12-14,
78,19600.0,13.3224,C,Dentist,>5 years,RENT,90850.0,2014-04-13,0,Debt consolidation,12.0,2016-01-01,
79,1960.0,13.104000000000001,C,,,MORTGAGE,27027.0,2014-04-07,0,Other,9.0,2015-12-26,
80,33600.0,7.8111,A,Other,>5 years,MORTGAGE,109182.6008,2015-04-10,0,Debt consolidation,14.0,2016-01-10,
81,17460.0,4.841200000000001,A,Civil Servant,>5 years,MORTGAGE,122850.0,2015-08-18,0,Other,5.0,2015-12-04,
82,18800.0,6.0357,A,Civil Servant,<=5 years,RENT,160050.0,2014-10-25,0,Debt consolidation,7.0,2016-01-05,
83,15000.0,14.99,C,Software developer,>5 years,MORTGAGE,46000.0,2014-07-14,0,Debt consolidation,15.0,2016-01-15,
84,24500.0,5.1604,A,Software developer,<=5 years,RENT,115000.0,2015-07-25,0,Debt consolidation,15.0,2016-01-21,
85,3713.0,14.3068,C,Teacher,>5 years,OWNER,19950.0,2013-07-20,0,Debt consolidation,2.0,2015-06-07,
86,3800.0,12.4362,C,,,RENT,8004.36,2015-07-05,0,Car purchase,7.0,2016-01-10,
87,1920.0,11.9938,C,Taxi driver,>5 years,MORTGAGE,43200.0,2015-11-05,0,Debt consolidation,18.0,2016-01-13,
88,7440.0,10.9155,B,Teacher,<=5 years,RENT,57600.0,2010-06-12,0,Debt consolidation,22.0,2012-11-12,
89,9215.0,8.8361,B,Nurse,>5 years,MORTGAGE,54600.0,2013-09-17,0,Debt consolidation,17.0,2015-06-21,
90,8705.75,13.0403,C,,,MORTGAGE,24570.0,2012-12-21,0,Other,15.0,2013-12-15,
91,10920.0,15.1417,D,Secretary,>5 years,MORTGAGE,44135.0,2014-06-20,0,Debt consolidation,11.0,2016-01-21,
92,13352.5,22.7409,E,Civil Servant,<=5 years,OWNER,36100.0,2015-03-10,0,Home improvements,20.0,2016-01-25,
93,12000.0,8.18,B,Other,<=5 years,RENT,36400.0,2015-08-21,0,Debt consolidation,12.0,2016-01-07,
94,16380.0,14.517299999999999,D,Secretary,>5 years,MORTGAGE,72000.0,2015-03-02,0,Debt consolidation,12.0,2016-01-15,
95,28200.0,14.0231,D,Nurse,>5 years,MORTGAGE,83300.0,2015-11-17,0,Debt consolidation,27.0,2015-12-17,
96,15000.0,10.8801,B,Statistician,>5 years,RENT,109200.0,2015-05-16,0,Debt consolidation,10.0,2016-01-14,
97,6580.0,7.6074,B,Bus driver,>5 years,MORTGAGE,103950.0,2015-11-03,0,Debt consolidation,27.0,2016-01-13,
98,9500.0,15.475499999999998,D,Statistician,>5 years,MORTGAGE,76000.0,2012-02-03,0,Debt consolidation,11.0,2014-04-12,
99,14550.0,9.17,B,Teacher,>5 years,RENT,33840.0,2015-04-05,0,Debt consolidation,12.0,2015-12-01,
100,5170.0,12.5856,B,Accountant,<=5 years,RENT,23573.376,2012-10-05,0,Debt consolidation,7.0,2014-08-01,
101,24250.0,13.7102,C,Dentist,<=5 years,RENT,117265.5,2015-03-02,0,Debt consolidation,8.0,2016-01-18,
102,8599.5,11.49,B,Dentist,>5 years,OWNER,32980.0,2015-11-19,0,Debt consolidation,8.0,2016-01-14,
103,5000.0,4.8944,A,Taxi driver,>5 years,MORTGAGE,88270.0,2015-07-15,0,Debt consolidation,14.0,2016-01-12,
104,10044.0,15.1223,D,Other,<=5 years,RENT,66500.0,2015-02-24,0,Debt consolidation,9.0,2016-01-13,
105,11520.0,17.2809,E,Accountant,>5 years,MORTGAGE,59044.8,2014-08-22,0,Home improvements,7.0,2015-11-15,
106,7128.0,13.1967,C,Nurse,>5 years,MORTGAGE,45600.0,2015-04-04,0,Debt consolidation,15.0,2016-01-05,
107,26315.0,13.771,C,Secretary,>5 years,MORTGAGE,58590.0,2015-10-01,0,Debt consolidation,9.0,2016-01-25,
108,4278.0,8.099,A,Statistician,>5 years,OWNER,29700.0,2012-11-20,0,Home improvements,6.0,2015-02-11,
109,3276.0,14.823899999999998,D,Bus driver,>5 years,RENT,29440.0,2014-07-15,0,Health,22.0,2014-10-20,
110,3564.0,16.8201,D,Taxi driver,>5 years,MORTGAGE,39100.0,2015-11-13,0,Debt consolidation,6.0,2016-01-04,
111,14250.0,13.5333,C,Software developer,>5 years,RENT,118800.0,2015-12-04,0,Debt consolidation,11.0,2010-12-05,2.0
112,12000.0,6.2124,A,Dentist,<=5 years,RENT,65800.0,2015-03-05,0,Debt consolidation,12.0,2016-01-19,
113,13800.0,15.460899999999999,D,Other,>5 years,RENT,35890.0,2015-05-24,0,Debt consolidation,19.0,2015-12-18,
114,6256.5,12.212299999999999,C,Taxi driver,>5 years,MORTGAGE,49470.0,2015-11-15,0,Debt consolidation,9.0,2016-01-09,
115,15312.5,13.5703,C,,,RENT,31280.0,2015-10-27,0,Debt consolidation,12.0,2016-01-11,
116,10000.0,10.676400000000001,B,Teacher,>5 years,MORTGAGE,38000.0,2015-12-23,0,Debt consolidation,10.0,2014-04-23,4.0
117,11160.0,9.8901,B,Secretary,<=5 years,RENT,25760.0,2015-10-14,0,Debt consolidation,9.0,2016-01-10,
118,6580.0,15.1223,D,Dentist,<=5 years,RENT,44512.205400000006,2015-01-10,0,Home improvements,6.0,2015-12-26,
119,4535.5,15.0969,D,Nurse,<=5 years,MORTGAGE,36860.0,2014-02-05,0,Debt consolidation,23.0,2015-06-26,
120,17280.0,5.9697000000000005,A,Nurse,<=5 years,RENT,53360.0,2014-08-16,0,Debt consolidation,7.0,2016-01-22,
121,22750.0,17.3242,D,Teacher,<=5 years,RENT,57000.0,2015-11-01,0,Debt consolidation,6.0,2016-01-17,
122,10304.0,17.846700000000002,E,Bus driver,>5 years,RENT,94000.0,2015-10-06,0,Other,8.0,2016-01-17,
123,19600.0,9.1575,A,Statistician,>5 years,MORTGAGE,74400.0,2013-10-23,0,Debt consolidation,12.0,2015-05-26,
124,14250.0,14.8105,D,Statistician,>5 years,MORTGAGE,29760.0,2015-01-08,0,Debt consolidation,10.0,2015-12-06,
125,9300.0,11.447500000000002,C,Dentist,<=5 years,RENT,136320.0,2015-11-24,0,Debt consolidation,16.0,2016-01-21,
126,19000.0,11.8017,C,Statistician,<=5 years,RENT,98000.0,2015-10-15,0,Debt consolidation,15.0,2015-12-21,
127,4074.0,13.1629,C,Taxi driver,<=5 years,RENT,29016.0,2009-09-15,0,Debt consolidation,8.0,2011-03-01,
128,26505.0,13.2165,C,Statistician,<=5 years,MORTGAGE,75200.0,2014-11-08,0,Debt consolidation,18.0,2016-01-24,
129,22800.0,12.721499999999999,B,Secretary,>5 years,OWNER,96773.04,2014-01-26,0,Debt consolidation,13.0,2015-05-04,
130,3840.0,9.2456,B,Teacher,>5 years,MORTGAGE,37200.0,2012-09-24,0,Debt consolidation,8.0,2015-09-13,
131,7760.0,8.405100000000001,B,Bus driver,>5 years,MORTGAGE,39200.0,2015-12-19,0,Debt consolidation,15.0,2015-10-14,1.0
132,8000.0,16.5792,C,Software developer,>5 years,RENT,49500.0,2013-04-21,0,Debt consolidation,20.0,2015-12-05,
133,10340.0,8.277000000000001,A,Secretary,<=5 years,RENT,37440.0,2014-01-02,0,Debt consolidation,6.0,2016-01-11,
134,3375.0,15.557,D,Taxi driver,<=5 years,MORTGAGE,43710.0,2015-06-23,0,Debt consolidation,9.0,2016-01-17,
135,9600.0,6.9696,A,Teacher,<=5 years,RENT,48510.0,2015-12-02,0,Debt consolidation,8.0,2016-01-27,
136,19400.0,6.6928,A,Software developer,>5 years,RENT,89100.0,2014-10-15,0,Debt consolidation,18.0,2015-12-15,
137,4850.0,16.79,D,Bus driver,<=5 years,OWNER,23246.28,2011-09-06,0,Debt consolidation,7.0,2016-01-23,
138,9400.0,15.3915,D,Nurse,<=5 years,RENT,31960.0,2015-07-06,0,Debt consolidation,9.0,2015-08-03,
139,5510.0,13.2104,C,Teacher,<=5 years,MORTGAGE,39600.0,2010-02-12,0,Other,10.0,2011-05-24,
140,4292.25,7.634900000000001,A,Bus driver,>5 years,RENT,38253.65,2014-10-17,0,Debt consolidation,11.0,2015-09-07,
141,3840.0,12.1422,C,Dentist,<=5 years,MORTGAGE,38800.0,2015-01-20,0,Debt consolidation,13.0,2015-12-07,
142,25875.0,12.99,B,Taxi driver,>5 years,MORTGAGE,68620.0,2013-09-20,0,Debt consolidation,12.0,2015-12-02,
143,24304.0,10.6603,B,Accountant,<=5 years,MORTGAGE,88360.0,2015-10-20,0,Debt consolidation,7.0,2016-01-06,
144,19000.0,14.49,C,Dentist,<=5 years,MORTGAGE,275000.0,2014-09-01,0,Debt consolidation,25.0,2015-07-08,
145,7760.0,8.7997,B,Accountant,>5 years,MORTGAGE,51480.0,2014-01-26,0,Debt consolidation,12.0,2016-01-09,
146,4650.0,10.2466,B,Other,<=5 years,OWNER,14803.1588,2009-07-16,0,Debt consolidation,16.0,2012-05-02,
147,5940.0,8.722,A,Other,<=5 years,RENT,34300.0,2014-05-15,0,Debt consolidation,9.0,2015-10-16,
148,10000.0,7.862399999999999,A,Software developer,>5 years,RENT,37200.0,2015-01-09,0,Debt consolidation,5.0,2016-01-08,
149,13968.0,9.2365,B,Teacher,<=5 years,RENT,41400.0,2014-10-17,0,Debt consolidation,16.0,2016-01-02,
150,9936.0,11.14,B,Nurse,<=5 years,RENT,73600.0,2013-04-20,0,Debt consolidation,7.0,2015-03-12,
151,9900.0,16.7519,C,Civil Servant,<=5 years,RENT,32550.0,2013-04-23,0,Debt consolidation,14.0,2015-12-03,
152,20370.0,5.668200000000001,A,,,MORTGAGE,47530.16,2013-08-10,0,Debt consolidation,11.0,2015-12-06,
153,5445.0,10.583,B,Civil Servant,>5 years,RENT,29400.0,2012-10-17,0,Debt consolidation,7.0,2015-10-12,
154,9300.0,8.9866,B,Accountant,>5 years,MORTGAGE,95000.0,2015-10-25,0,Debt consolidation,9.0,2016-01-01,
155,21120.0,14.694,C,Software developer,>5 years,MORTGAGE,78400.0,2013-04-17,0,Debt consolidation,19.0,2016-01-03,
156,6912.0,11.8017,C,Bus driver,>5 years,OWNER,48960.0,2015-03-27,0,Debt consolidation,9.0,2016-01-15,
157,9500.0,16.682,D,Software developer,<=5 years,RENT,77600.0,2013-08-25,0,Other,8.0,2015-01-15,
158,5390.0,11.4908,B,Secretary,>5 years,RENT,87300.0,2014-07-06,0,Debt consolidation,18.0,2015-06-04,
159,18960.0,20.5702,E,Bus driver,>5 years,MORTGAGE,42750.0,2014-11-16,0,Debt consolidation,16.0,2015-11-23,
160,23760.0,5.909400000000001,A,Taxi driver,<=5 years,MORTGAGE,134850.0,2014-12-02,0,Debt consolidation,17.0,2016-01-25,
161,19800.0,7.426,A,Software developer,<=5 years,MORTGAGE,54280.0,2012-03-15,0,Other,13.0,2013-09-08,
162,34300.0,14.3612,D,Bus driver,<=5 years,MORTGAGE,124740.0,2015-07-21,0,Debt consolidation,24.0,2016-01-12,
163,11280.0,7.0866,A,,,MORTGAGE,40320.0,2014-03-22,0,Debt consolidation,7.0,2014-10-16,
164,6900.0,11.1453,B,Teacher,<=5 years,MORTGAGE,44100.0,2015-12-15,0,Debt consolidation,10.0,2016-01-21,
165,25440.0,14.5403,C,Bus driver,>5 years,MORTGAGE,82170.0,2014-11-27,0,Debt consolidation,8.0,2016-01-03,
166,3552.5,20.49,E,Other,>5 years,MORTGAGE,30251.8,2014-02-02,0,Debt consolidation,10.0,2014-10-15,
167,31850.0,16.29,C,Other,>5 years,OWNER,206630.8,2013-03-16,0,Home improvements,14.0,2014-07-14,
168,15470.0,13.7102,C,Statistician,<=5 years,MORTGAGE,45570.0,2015-04-06,0,Debt consolidation,12.0,2016-01-04,
169,15520.0,13.99,C,Other,<=5 years,RENT,58000.0,2015-04-15,0,Debt consolidation,8.0,2016-01-16,
170,28800.0,7.8866000000000005,A,Nurse,>5 years,MORTGAGE,228000.0,2014-10-08,0,Debt consolidation,26.0,2016-01-27,
171,19646.25,14.3904,C,Teacher,<=5 years,OWNER,44650.0,2014-09-14,0,Home improvements,21.0,2016-01-10,
172,7073.5,13.7004,C,Software developer,>5 years,MORTGAGE,40040.0,2014-05-25,0,Debt consolidation,12.0,2016-01-25,
173,2760.0,6.4251000000000005,A,,,MORTGAGE,64990.0,2014-12-04,0,Debt consolidation,10.0,2015-04-11,
174,32200.0,8.3447,B,Teacher,>5 years,MORTGAGE,196000.0,2014-07-25,0,Debt consolidation,14.0,2016-01-10,
175,8510.0,12.4545,C,Bus driver,>5 years,OWNER,19809.0,2010-05-11,0,Debt consolidation,13.0,2011-05-23,
176,14675.0,27.043599999999998,E,Civil Servant,>5 years,OWNER,102000.0,2015-12-19,0,Other,8.0,2016-01-22,
177,15000.0,18.3724,D,Secretary,<=5 years,MORTGAGE,192000.0,2013-12-27,0,Debt consolidation,5.0,2016-01-01,
178,21780.0,9.49,B,Teacher,>5 years,RENT,109200.0,2015-01-18,0,Debt consolidation,21.0,2016-01-21,
179,11640.0,11.2032,B,Bus driver,>5 years,MORTGAGE,55800.0,2014-07-18,0,Debt consolidation,14.0,2015-12-13,
180,7520.0,13.8501,C,Software developer,>5 years,MORTGAGE,76950.0,2015-04-14,0,Debt consolidation,15.0,2016-01-09,
181,18200.0,8.455,A,Taxi driver,>5 years,MORTGAGE,141000.0,2013-05-14,0,Debt consolidation,15.0,2016-01-18,
182,17280.0,10.6603,B,Nurse,<=5 years,OWNER,73990.0,2015-05-07,0,Debt consolidation,28.0,2016-01-02,
183,21120.0,12.5672,C,Civil Servant,<=5 years,RENT,75200.0,2014-11-16,0,Debt consolidation,7.0,2015-12-19,
184,11466.0,12.0612,B,Teacher,<=5 years,RENT,35720.0,2012-09-16,0,Debt consolidation,15.0,2014-08-05,
185,9800.0,12.6528,C,Nurse,>5 years,RENT,28200.0,2015-11-25,0,Debt consolidation,11.0,2016-01-06,
186,24000.0,15.9887,D,Civil Servant,<=5 years,RENT,82000.0,2014-10-14,0,Home improvements,10.0,2016-01-04,
187,6650.0,7.4955,A,Secretary,<=5 years,MORTGAGE,116400.0,2015-11-22,0,Debt consolidation,8.0,2016-01-10,
188,6814.25,16.8201,D,Accountant,<=5 years,RENT,22000.0,2015-08-10,0,Moving home,6.0,2015-12-17,
189,16000.0,9.845500000000001,B,Bus driver,>5 years,MORTGAGE,216000.0,2014-10-04,0,Debt consolidation,13.0,2015-10-11,
190,19577.25,7.6074,B,Nurse,>5 years,MORTGAGE,71609.2,2015-03-06,0,Debt consolidation,14.0,2015-12-22,
191,18600.0,9.290700000000001,B,Other,<=5 years,RENT,135800.0,2015-07-21,0,Debt consolidation,11.0,2016-01-11,
192,16910.0,7.718800000000001,A,Accountant,>5 years,MORTGAGE,59800.0,2014-06-19,0,Debt consolidation,15.0,2016-01-07,
193,9991.0,5.668200000000001,A,Nurse,<=5 years,MORTGAGE,77000.0,2014-07-17,0,Debt consolidation,12.0,2015-09-01,
194,17100.0,14.3612,C,Teacher,<=5 years,MORTGAGE,92056.48,2014-02-22,0,Debt consolidation,14.0,2014-03-17,
195,12804.0,12.549,C,Software developer,<=5 years,MORTGAGE,59220.0,2014-07-18,0,Debt consolidation,13.0,2016-01-01,
196,31360.0,15.3915,D,Civil Servant,>5 years,OWNER,142880.0,2015-10-21,0,Debt consolidation,12.0,2015-12-06,
197,9900.0,14.2051,C,Software developer,>5 years,RENT,47940.0,2014-01-05,0,Debt consolidation,11.0,2015-06-19,
198,15092.0,18.990499999999997,E,Bus driver,<=5 years,MORTGAGE,30080.0,2015-06-25,0,Home improvements,12.0,2015-07-15,
199,14850.0,11.6755,C,Other,>5 years,RENT,67200.0,2015-07-02,0,Debt consolidation,11.0,2015-12-18,
200,17100.0,9.6903,B,Teacher,>5 years,MORTGAGE,67900.0,2015-07-04,0,Debt consolidation,19.0,2016-01-13,
201,21340.0,12.4704,C,Secretary,<=5 years,MORTGAGE,69000.0,2014-10-18,0,Debt consolidation,11.0,2016-01-17,
202,6000.0,12.967500000000001,C,Other,>5 years,RENT,78960.0,2014-05-26,0,Debt consolidation,16.0,2016-01-06,
203,9500.0,10.626000000000001,B,Statistician,>5 years,RENT,53940.0,2013-08-26,0,Debt consolidation,14.0,2014-08-17,
204,9800.0,8.366,A,Dentist,<=5 years,MORTGAGE,85500.0,2013-04-26,0,Debt consolidation,12.0,2015-12-20,
205,9940.5,20.8356,E,Nurse,>5 years,RENT,224742.6727,2013-12-01,0,Debt consolidation,11.0,2015-12-23,
206,11640.0,6.4251000000000005,A,Software developer,<=5 years,RENT,83700.0,2014-10-07,0,Debt consolidation,15.0,2016-01-01,
207,8550.0,8.5281,B,Nurse,>5 years,MORTGAGE,44100.0,2015-07-05,0,Debt consolidation,19.0,2015-12-16,
208,9571.25,7.634900000000001,A,Other,<=5 years,MORTGAGE,84630.0,2014-05-05,0,Debt consolidation,7.0,2016-01-08,
209,11280.0,7.12,A,Statistician,<=5 years,RENT,63480.0,2014-07-22,0,Debt consolidation,8.0,2015-12-01,
210,23040.0,11.5104,B,Bus driver,<=5 years,MORTGAGE,99000.0,2013-10-08,0,Debt consolidation,10.0,2014-11-22,
211,13432.0,13.3315,C,Taxi driver,<=5 years,OWNER,50440.0,2012-06-22,0,Debt consolidation,8.0,2013-07-27,
212,16660.0,10.3224,B,Software developer,>5 years,MORTGAGE,62560.0,2015-12-10,0,Debt consolidation,17.0,2016-01-08,
213,14400.0,12.2402,B,Secretary,<=5 years,MORTGAGE,80640.0,2014-04-15,0,Debt consolidation,13.0,2016-01-07,
214,9120.0,13.771,C,Statistician,>5 years,MORTGAGE,45500.0,2015-08-21,0,Debt consolidation,8.0,2016-01-26,
